report_id,date,site,report_type,text
R11-00215,2025-11-30,Duliajan,Near Miss,"Near miss: Water spill on floor near canteen at compressor house, mopped, employee slipped but no injury. Area secured."
R11-00216,2025-12-03,Kharsang,Incident,"Incident report: LOTO tag found with faded ink at pipeline ROW; tag replaced the same day, isolation was properly verified. Reported during night shift."
R11-00217,2026-09-19,Naharkatia,Incident,"Incident report: Permit copy at drill site not displayed at job site, displayed after reminder."
R11-00218,2025-12-23,Jorhat,UC,"Unsafe condition: Worker found standing close to moving forklift at wellhead but at safe distance, coached."
R11-00219,2026-06-04,Moran,Near Miss,"Near miss: Alarm test log at oil collecting station filled late, corrected. Reported during night shift."
R11-00220,2026-02-09,Moran,Near Miss,"Near miss: Lifting plan not prepared for wellhead equipment at workshop; crane outside load chart, outrigger not fully extended. Supervisor informed."
R11-00221,2026-04-30,Baghewala (Rajasthan),UA,"Unsafe act observed: Waste bin overflowing at compressor house, cleared by housekeeping. Reported during night shift."
R11-00222,2025-10-18,Moran,Near Miss,Near miss: Fire extinguisher at welding bay compressor house found past inspection date; replaced. Reported during night shift.
R11-00223,2026-03-04,Naharkatia,UC,"Unsafe condition: Contractor descended into sump at drill site with no gas test, rescue equipment not available, attendant absent."
R11-00224,2026-07-26,Baghewala (Rajasthan),UA,"Unsafe act observed: Welder at GGS not wearing welding gloves, spoken to and corrected. Reported during morning inspection."
R11-00225,2026-04-02,Tinsukia,Near Miss,"Near miss: Minor cut on finger while opening a box at rig floor, first aid given. Reported during morning inspection."
R11-00226,2026-02-17,Jorhat,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at drill site, counselled. Area secured."
R11-00227,2026-07-06,Baghewala (Rajasthan),UC,"Unsafe condition: Waste bin overflowing at oil collecting station, cleared by housekeeping. Area secured."
R11-00228,2026-04-04,Duliajan,Near Miss,"Near miss: Toolbox talk record at wellhead incomplete, corrected."
R11-00229,2026-01-27,Jorhat,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at oil collecting station, counselled."
R11-00230,2026-01-08,Jorhat,UA,"Unsafe act observed: Alarm test log at rig floor filled late, corrected. Area secured."
R11-00231,2026-07-20,Naharkatia,UC,"Unsafe condition: LOTO tag found with faded ink at wellhead; tag replaced the same day, isolation was properly verified."
R11-00232,2025-11-14,Tinsukia,Incident,"Incident report: Vehicle parked wrongly at compressor house gate, moved after advice. Reported during night shift."
R11-00233,2025-11-10,Naharkatia,UC,"Unsafe condition: Welder at drill site not wearing welding gloves, spoken to and corrected. Reported during morning inspection."
R11-00234,2026-02-17,Duliajan,Near Miss,"Near miss: Minor cut on finger while opening a box at pipeline ROW, first aid given. Reported during morning inspection."
R11-00235,2025-12-26,Tinsukia,Incident,"Incident report: Vehicle parked wrongly at oil collecting station gate, moved after advice."
R11-00236,2025-12-16,Jorhat,UA,"Unsafe act observed: Minor cut on finger while opening a box at workshop, first aid given. Supervisor informed."
R11-00237,2026-01-19,Kharsang,UA,"Unsafe act observed: Permit copy at pipeline ROW not displayed at job site, displayed after reminder. Area secured."
R11-00238,2026-07-27,Baghewala (Rajasthan),UC,"Unsafe condition: Water spill on floor near canteen at tank farm, mopped, employee slipped but no injury. Supervisor informed."
R11-00239,2026-01-17,Kharsang,UC,"Unsafe condition: Worker found standing close to moving forklift at CPF but at safe distance, coached. Reported during night shift."
R11-00240,2026-07-21,Moran,Near Miss,"Near miss: Waste bin overflowing at oil collecting station, cleared by housekeeping. Crew of four involved."
R11-00241,2026-07-04,Duliajan,UC,"Unsafe condition: Worker positioned within swing radius of tong at wellhead, near miss with drill pipe moving. Reported during morning inspection."
R11-00242,2025-11-05,Jorhat,UC,"Unsafe condition: Waste bin overflowing at pipeline ROW, cleared by housekeeping."
R11-00243,2026-02-24,Tinsukia,Near Miss,Near miss: Fire extinguisher at welding bay CPF found past inspection date; replaced.
R11-00244,2026-04-13,Tinsukia,UA,"Unsafe act observed: Tanker driver near drill site overspeeding on narrow road, seat belt not worn, vehicle overturned close to pedestrians. Supervisor informed."
R11-00245,2025-12-10,Moran,UC,"Unsafe condition: Stacked pipes untidy at pipeline ROW store, rearranged."
R11-00246,2026-04-09,Duliajan,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at drill site, counselled."
R11-00247,2026-03-14,Tinsukia,UA,"Unsafe act observed: Reverse horn not working on van at rig floor, fixed the same day. Crew of four involved."
R11-00248,2025-10-09,Duliajan,UA,"Unsafe act observed: Crane operator log book at rig floor not signed for one day, corrected. Reported during morning inspection."
R11-00249,2026-02-28,Naharkatia,Near Miss,"Near miss: Gas detector at oil collecting station calibration due next week, scheduled. Area secured."
R11-00250,2025-12-15,Tinsukia,Incident,"Incident report: Entry log at wellhead tank found untidy, updated by supervisor. Reported during morning inspection."
R11-00251,2025-10-24,Tinsukia,UA,"Unsafe act observed: Fire and gas alarm disabled at tank farm during maintenance and not reinstated, safety critical device override. Reported during night shift."
R11-00252,2026-05-27,Kharsang,Incident,Incident report: Technician started replacing pump seal at drill site without lockout tagout; isolation not verified and residual pressure was released. Area secured.
R11-00253,2026-09-18,Naharkatia,Near Miss,"Near miss: Contractor driver at oil collecting station drove at night without rest, vehicle hit barrier, driver fatigued, mobile phone in use."
R11-00254,2026-02-09,Jorhat,Incident,"Incident report: Entry log at compressor house tank found untidy, updated by supervisor."
R11-00255,2025-12-27,Tinsukia,Incident,"Incident report: Vehicle parked wrongly at compressor house gate, moved after advice. Crew of four involved."
R11-00256,2026-03-27,Naharkatia,Near Miss,"Near miss: Entry log at rig floor tank found untidy, updated by supervisor. Supervisor informed."
R11-00257,2026-06-12,Duliajan,Incident,"Incident report: Gas detector at workshop calibration due next week, scheduled. Crew of four involved."
R11-00258,2026-02-21,Jorhat,UA,"Unsafe act observed: Welder at GGS not wearing welding gloves, spoken to and corrected. Supervisor informed."
R11-00259,2026-01-08,Duliajan,Incident,Incident report: Valve found unlocked during flange opening at wellhead; hydrocarbon released because isolation not verified before breaking containment. Crew of four involved.
R11-00260,2026-03-11,Jorhat,Incident,"Incident report: Worker found standing close to moving forklift at GGS but at safe distance, coached. Crew of four involved."
R11-00261,2026-02-18,Jorhat,Near Miss,"Near miss: Stacked pipes untidy at GGS store, rearranged. Reported during morning inspection."
R11-00262,2026-06-20,Baghewala (Rajasthan),UC,"Unsafe condition: Fire and gas alarm disabled at wellhead during maintenance and not reinstated, safety critical device override. Supervisor informed."
R11-00263,2026-02-25,Moran,UC,"Unsafe condition: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury. Crew of four involved."
R11-00264,2026-04-27,Naharkatia,UC,"Unsafe condition: Lifting plan not prepared for wellhead equipment at wellhead; crane outside load chart, outrigger not fully extended."
R11-00265,2025-10-21,Baghewala (Rajasthan),UC,"Unsafe condition: Entry log at workshop tank found untidy, updated by supervisor."
R11-00266,2026-03-11,Duliajan,UC,"Unsafe condition: Confined space permit at compressor house filled with wrong date, corrected before entry."
R11-00267,2025-10-14,Kharsang,Near Miss,Near miss: Welding carried out near open drain at pipeline ROW without hot work permit and gas test; flammable vapour present nearby. Supervisor informed.
R11-00268,2026-06-25,Tinsukia,UA,"Unsafe act observed: Reverse horn not working on van at tank farm, fixed the same day. Reported during morning inspection."
R11-00269,2026-02-25,Duliajan,Incident,"Incident report: Contractor started excavation near live gas line at compressor house without work permit; no toolbox talk, underground drawing not checked. Reported during morning inspection."
R11-00270,2026-03-01,Jorhat,Near Miss,Near miss: Worker entered tank at wellhead without confined space entry permit; oxygen level not tested and no standby person.
R11-00271,2026-05-08,Tinsukia,Incident,"Incident report: Small tool dropped from table at rig floor, landed on floor, no one nearby. Area secured."
R11-00272,2026-01-05,Jorhat,Incident,"Incident report: Worker found standing close to moving forklift at wellhead but at safe distance, coached. Area secured."
R11-00273,2026-05-22,Tinsukia,Near Miss,"Near miss: Entry log at wellhead tank found untidy, updated by supervisor. Supervisor informed."
R11-00274,2026-05-26,Tinsukia,UA,"Unsafe act observed: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury. Crew of four involved."
R11-00275,2026-09-14,Moran,UC,"Unsafe condition: Roof of pump house at workshop accessed without fall protection, fragile sheet cracked. Reported during morning inspection."
R11-00276,2026-04-25,Moran,UA,"Unsafe act observed: Contractor started excavation near live gas line at oil collecting station without work permit; no toolbox talk, underground drawing not checked."
R11-00277,2026-08-23,Duliajan,Incident,"Incident report: Worker not wearing safety glasses while cleaning at oil collecting station, counselled."
R11-00278,2025-10-18,Naharkatia,Incident,"Incident report: Toolbox talk record at CPF incomplete, corrected. Crew of four involved."
R11-00279,2026-08-16,Kharsang,Incident,"Incident report: Worker found standing close to moving forklift at pipeline ROW but at safe distance, coached. Reported during morning inspection."
R11-00280,2026-09-09,Baghewala (Rajasthan),Incident,"Incident report: Isolation register at compressor house missing one signature, corrected, no work had started."
R11-00281,2026-01-24,Duliajan,Incident,"Incident report: Work started on live wellhead at CPF without permit to work, JSA not done. Crew of four involved."
R11-00282,2026-05-07,Duliajan,UA,"Unsafe act observed: Alarm test log at workshop filled late, corrected."
R11-00283,2026-07-26,Jorhat,Incident,Incident report: Worker entered tank at wellhead without confined space entry permit; oxygen level not tested and no standby person.
R11-00284,2026-02-06,Duliajan,Near Miss,"Near miss: Isolation register at oil collecting station missing one signature, corrected, no work had started."
R11-00285,2026-02-18,Jorhat,Near Miss,"Near miss: Waste bin overflowing at compressor house, cleared by housekeeping. Supervisor informed."
R11-00286,2026-09-12,Naharkatia,Incident,"Incident report: Welder at tank farm not wearing welding gloves, spoken to and corrected."
R11-00287,2025-10-27,Jorhat,Near Miss,"Near miss: Small tool dropped from table at pipeline ROW, landed on floor, no one nearby."
R11-00288,2026-07-24,Naharkatia,Near Miss,"Near miss: Crane operator log book at GGS not signed for one day, corrected."
R11-00289,2025-10-14,Duliajan,UC,"Unsafe condition: Minor cut on finger while opening a box at CPF, first aid given. Reported during night shift."
R11-00290,2026-09-06,Duliajan,UA,"Unsafe act observed: Stacked pipes untidy at oil collecting station store, rearranged. Supervisor informed."
R11-00291,2025-10-15,Baghewala (Rajasthan),UC,"Unsafe condition: Crane operator log book at drill site not signed for one day, corrected."
R11-00292,2025-12-16,Baghewala (Rajasthan),UC,"Unsafe condition: Small tool dropped from table at oil collecting station, landed on floor, no one nearby."
R11-00293,2026-08-06,Tinsukia,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at drill site, counselled."
R11-00294,2026-09-08,Duliajan,UA,"Unsafe act observed: Minor cut on finger while opening a box at CPF, first aid given."
R11-00295,2026-07-31,Kharsang,UA,"Unsafe act observed: High level shutdown interlock bypassed at pipeline ROW to keep production running, no MOC and no approval; gas detector inhibited. Supervisor informed."
R11-00296,2026-07-11,Tinsukia,Incident,"Incident report: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury. Reported during night shift."
R11-00297,2026-04-01,Jorhat,UC,"Unsafe condition: Entry log at compressor house tank found untidy, updated by supervisor. Supervisor informed."
R11-00298,2026-02-15,Duliajan,Near Miss,"Near miss: Minor cut on finger while opening a box at workshop, first aid given. Reported during night shift."
R11-00299,2026-09-20,Duliajan,Near Miss,"Near miss: Contractor started excavation near live gas line at compressor house without work permit; no toolbox talk, underground drawing not checked."
R11-00300,2026-03-01,Duliajan,UC,"Unsafe condition: Stacked pipes untidy at tank farm store, rearranged. Supervisor informed."
R11-00301,2026-09-20,Duliajan,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at compressor house, counselled."
R11-00302,2026-02-04,Tinsukia,UC,"Unsafe condition: Crew stood under suspended pipe during rig floor handling at rig floor; exclusion zone not barricaded, load swung close to worker. Area secured."
R11-00303,2025-10-07,Naharkatia,Near Miss,"Near miss: Minor cut on finger while opening a box at rig floor, first aid given. Area secured."
R11-00304,2025-11-05,Baghewala (Rajasthan),UA,"Unsafe act observed: Crane operator log book at oil collecting station not signed for one day, corrected. Reported during night shift."
R11-00305,2026-09-02,Tinsukia,UA,"Unsafe act observed: Entry log at wellhead tank found untidy, updated by supervisor. Reported during morning inspection."
R11-00306,2026-01-05,Jorhat,UA,Unsafe act observed: Worker entered tank at GGS without confined space entry permit; oxygen level not tested and no standby person. Crew of four involved.
R11-00307,2026-05-31,Kharsang,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at wellhead, counselled. Reported during night shift."
R11-00308,2026-09-16,Tinsukia,UA,"Unsafe act observed: Reverse horn not working on van at oil collecting station, fixed the same day. Supervisor informed."
R11-00309,2026-01-31,Jorhat,Incident,"Incident report: Worker not wearing safety glasses while cleaning at drill site, counselled. Supervisor informed."
R11-00310,2026-02-26,Naharkatia,UC,"Unsafe condition: Electrician opened MCC panel at CPF for repair, energy not isolated, no tag-out applied, live terminals exposed."
R11-00311,2025-10-04,Jorhat,Incident,"Incident report: Roof of pump house at pipeline ROW accessed without fall protection, fragile sheet cracked."
R11-00312,2026-07-13,Moran,Near Miss,"Near miss: Water spill on floor near canteen at oil collecting station, mopped, employee slipped but no injury."
R11-00313,2026-05-18,Duliajan,UA,"Unsafe act observed: Waste bin overflowing at drill site, cleared by housekeeping. Reported during morning inspection."
R11-00314,2026-05-28,Kharsang,UC,"Unsafe condition: High level shutdown interlock bypassed at CPF to keep production running, no MOC and no approval; gas detector inhibited."
R11-00315,2026-02-19,Moran,Near Miss,"Near miss: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury. Reported during night shift."
R11-00316,2025-12-11,Duliajan,UC,"Unsafe condition: Fire and gas alarm disabled at rig floor during maintenance and not reinstated, safety critical device override. Supervisor informed."
R11-00317,2025-11-27,Jorhat,UC,"Unsafe condition: Minor cut on finger while opening a box at CPF, first aid given."
R11-00318,2026-07-18,Duliajan,Incident,"Incident report: Isolation register at GGS missing one signature, corrected, no work had started."
R11-00319,2025-10-05,Duliajan,UA,"Unsafe act observed: High-pressure hose whipped at CPF because whip-check not fitted, worker standing in line of discharge."
R11-00320,2025-11-25,Baghewala (Rajasthan),UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at workshop, counselled."
R11-00321,2026-02-06,Duliajan,UC,"Unsafe condition: Crew stood under suspended pipe during rig floor handling at workshop; exclusion zone not barricaded, load swung close to worker."
R11-00322,2026-09-01,Tinsukia,Near Miss,"Near miss: Waste bin overflowing at CPF, cleared by housekeeping."
R11-00323,2026-01-15,Jorhat,Incident,"Incident report: Water spill on floor near canteen at oil collecting station, mopped, employee slipped but no injury. Crew of four involved."
R11-00324,2026-06-17,Jorhat,Near Miss,"Near miss: Crew stood under suspended pipe during rig floor handling at GGS; exclusion zone not barricaded, load swung close to worker."
R11-00325,2026-09-18,Duliajan,UA,"Unsafe act observed: Entry log at rig floor tank found untidy, updated by supervisor. Supervisor informed."
R11-00326,2025-12-31,Naharkatia,Incident,"Incident report: Vehicle parked wrongly at CPF gate, moved after advice."
R11-00327,2026-07-03,Baghewala (Rajasthan),UC,"Unsafe condition: Stacked pipes untidy at pipeline ROW store, rearranged."
R11-00328,2026-04-30,Duliajan,UC,"Unsafe condition: Waste bin overflowing at wellhead, cleared by housekeeping."
R11-00329,2025-10-19,Jorhat,UA,"Unsafe act observed: Scaffold at pipeline ROW without toe boards and handrails, worker climbed to 6 metres unsecured. Area secured."
R11-00330,2026-06-01,Jorhat,UA,"Unsafe act observed: Welder at wellhead not wearing welding gloves, spoken to and corrected. Supervisor informed."
R11-00331,2026-08-05,Duliajan,Near Miss,Near miss: Valve found unlocked during flange opening at GGS; hydrocarbon released because isolation not verified before breaking containment. Area secured.
R11-00332,2025-10-28,Baghewala (Rajasthan),Incident,"Incident report: Welder at compressor house not wearing welding gloves, spoken to and corrected. Reported during morning inspection."
R11-00333,2026-06-01,Tinsukia,UC,"Unsafe condition: Alarm test log at wellhead filled late, corrected."
R11-00334,2026-09-15,Moran,UC,"Unsafe condition: Waste bin overflowing at pipeline ROW, cleared by housekeeping."
R11-00335,2026-04-22,Tinsukia,Near Miss,"Near miss: Welder at workshop not wearing welding gloves, spoken to and corrected."
R11-00336,2026-09-13,Baghewala (Rajasthan),Incident,Incident report: Valve found unlocked during flange opening at compressor house; hydrocarbon released because isolation not verified before breaking containment. Area secured.
R11-00337,2026-04-07,Moran,Incident,"Incident report: Worker not wearing safety glasses while cleaning at tank farm, counselled. Crew of four involved."
R11-00338,2025-11-28,Tinsukia,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at GGS, counselled. Reported during night shift."
R11-00339,2026-08-06,Kharsang,Near Miss,"Near miss: Contractor started excavation near live gas line at drill site without work permit; no toolbox talk, underground drawing not checked. Reported during night shift."
R11-00340,2026-08-30,Naharkatia,UA,"Unsafe act observed: Lifting plan not prepared for wellhead equipment at rig floor; crane outside load chart, outrigger not fully extended. Supervisor informed."
R11-00341,2026-03-07,Moran,Incident,"Incident report: Gas detector at drill site calibration due next week, scheduled. Crew of four involved."
R11-00342,2026-05-02,Duliajan,UC,"Unsafe condition: Welder at pipeline ROW not wearing welding gloves, spoken to and corrected. Supervisor informed."
R11-00343,2026-07-10,Baghewala (Rajasthan),Near Miss,Near miss: Worker entered tank at CPF without confined space entry permit; oxygen level not tested and no standby person. Reported during night shift.
R11-00344,2025-11-30,Baghewala (Rajasthan),UC,"Unsafe condition: Stacked pipes untidy at drill site store, rearranged. Area secured."
R11-00345,2025-11-09,Duliajan,Near Miss,"Near miss: Lifting plan not prepared for wellhead equipment at CPF; crane outside load chart, outrigger not fully extended."
R11-00346,2026-04-29,Tinsukia,Incident,"Incident report: Welder at CPF not wearing welding gloves, spoken to and corrected."
R11-00347,2026-09-14,Duliajan,UC,"Unsafe condition: Lifting plan not prepared for wellhead equipment at tank farm; crane outside load chart, outrigger not fully extended."
R11-00348,2026-08-23,Naharkatia,Incident,"Incident report: Welder at rig floor not wearing welding gloves, spoken to and corrected. Reported during night shift."
R11-00349,2026-01-12,Jorhat,UA,"Unsafe act observed: Permit copy at pipeline ROW not displayed at job site, displayed after reminder."
R11-00350,2025-10-07,Tinsukia,Near Miss,"Near miss: Confined space permit at drill site filled with wrong date, corrected before entry. Reported during morning inspection."
R11-00351,2026-03-13,Duliajan,Incident,"Incident report: Stacked pipes untidy at oil collecting station store, rearranged."
R11-00352,2026-08-19,Jorhat,UA,"Unsafe act observed: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00353,2026-07-23,Jorhat,UC,"Unsafe condition: Grinding sparks fell close to condensate tank at tank farm, no fire watch, no fire blanket."
R11-00354,2026-09-08,Naharkatia,Incident,Incident report: Worker entered tank at GGS without confined space entry permit; oxygen level not tested and no standby person.
R11-00355,2025-12-22,Jorhat,UA,"Unsafe act observed: Toolbox talk record at GGS incomplete, corrected. Supervisor informed."
R11-00356,2025-11-23,Baghewala (Rajasthan),Near Miss,Near miss: Technician started replacing pump seal at oil collecting station without lockout tagout; isolation not verified and residual pressure was released.
R11-00357,2026-02-14,Baghewala (Rajasthan),UC,Unsafe condition: Worker entered tank at rig floor without confined space entry permit; oxygen level not tested and no standby person.
R11-00358,2026-02-09,Jorhat,Incident,"Incident report: Worker not wearing safety glasses while cleaning at drill site, counselled. Supervisor informed."
R11-00359,2026-08-17,Moran,UA,"Unsafe act observed: Alarm test log at CPF filled late, corrected."
R11-00360,2025-12-24,Baghewala (Rajasthan),UC,"Unsafe condition: Isolation register at rig floor missing one signature, corrected, no work had started."
R11-00361,2026-02-23,Tinsukia,Near Miss,Near miss: Technician started replacing pump seal at rig floor without lockout tagout; isolation not verified and residual pressure was released. Reported during morning inspection.
R11-00362,2026-07-18,Kharsang,Near Miss,"Near miss: Worker at drill site climbed a 1 m step stool without helmet, advised."
R11-00363,2025-10-16,Duliajan,Incident,"Incident report: Lifting sling at CPF had expired colour code tag, removed from service."
R11-00364,2026-01-03,Duliajan,Incident,"Incident report: High level shutdown interlock bypassed at pipeline ROW to keep production running, no MOC and no approval; gas detector inhibited. Reported during night shift."
R11-00365,2026-03-11,Duliajan,UC,"Unsafe condition: Confined space permit at CPF filled with wrong date, corrected before entry."
R11-00366,2025-11-02,Duliajan,Incident,"Incident report: LOTO tag found with faded ink at rig floor; tag replaced the same day, isolation was properly verified. Crew of four involved."
R11-00367,2026-05-23,Jorhat,UC,"Unsafe condition: Minor cut on finger while opening a box at CPF, first aid given. Area secured."
R11-00368,2026-02-24,Moran,UA,"Unsafe act observed: Stacked pipes untidy at wellhead store, rearranged. Crew of four involved."
R11-00369,2026-04-25,Baghewala (Rajasthan),UA,"Unsafe act observed: Isolation register at workshop missing one signature, corrected, no work had started. Reported during morning inspection."
R11-00370,2026-04-23,Naharkatia,Near Miss,"Near miss: Stacked pipes untidy at compressor house store, rearranged. Crew of four involved."
R11-00371,2026-02-16,Jorhat,Incident,"Incident report: Waste bin overflowing at workshop, cleared by housekeeping. Area secured."
R11-00372,2025-10-04,Duliajan,UA,"Unsafe act observed: Stacked pipes untidy at wellhead store, rearranged."
R11-00373,2026-04-16,Jorhat,Incident,"Incident report: Cutting torch used on pipeline at rig floor while gas test not done, LEL not checked."
R11-00374,2026-08-12,Jorhat,Near Miss,"Near miss: Permit copy at drill site not displayed at job site, displayed after reminder. Supervisor informed."
R11-00375,2025-12-13,Jorhat,UC,"Unsafe condition: Water spill on floor near canteen at oil collecting station, mopped, employee slipped but no injury. Crew of four involved."
R11-00376,2026-04-12,Baghewala (Rajasthan),UA,"Unsafe act observed: Worker positioned within swing radius of tong at pipeline ROW, near miss with drill pipe moving. Reported during morning inspection."
R11-00377,2026-06-03,Baghewala (Rajasthan),UA,"Unsafe act observed: LOTO tag found with faded ink at wellhead; tag replaced the same day, isolation was properly verified."
R11-00378,2026-01-02,Duliajan,UC,"Unsafe condition: Crane operator log book at tank farm not signed for one day, corrected. Area secured."
R11-00379,2026-05-24,Moran,UC,"Unsafe condition: Ladder at CPF had a loose rung, tagged out and fixed, nobody was using it. Reported during morning inspection."
R11-00380,2025-10-22,Moran,UC,"Unsafe condition: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury. Reported during morning inspection."
R11-00381,2026-07-25,Duliajan,UA,"Unsafe act observed: Grinding sparks fell close to condensate tank at drill site, no fire watch, no fire blanket. Crew of four involved."
R11-00382,2026-02-09,Kharsang,Near Miss,"Near miss: Waste bin overflowing at GGS, cleared by housekeeping. Reported during night shift."
R11-00383,2025-10-31,Duliajan,Incident,"Incident report: Tanker driver near pipeline ROW overspeeding on narrow road, seat belt not worn, vehicle overturned close to pedestrians. Area secured."
R11-00384,2026-04-07,Duliajan,UC,"Unsafe condition: Crane operator log book at pipeline ROW not signed for one day, corrected."
R11-00385,2026-05-20,Tinsukia,Incident,"Incident report: Worker found standing close to moving forklift at CPF but at safe distance, coached. Reported during night shift."
R11-00386,2026-05-01,Baghewala (Rajasthan),UC,"Unsafe condition: LOTO tag found with faded ink at GGS; tag replaced the same day, isolation was properly verified. Reported during morning inspection."
R11-00387,2026-03-31,Jorhat,Near Miss,"Near miss: Contractor started excavation near live gas line at oil collecting station without work permit; no toolbox talk, underground drawing not checked. Reported during night shift."
R11-00388,2025-11-07,Jorhat,Incident,"Incident report: Vehicle parked wrongly at oil collecting station gate, moved after advice."
R11-00389,2026-04-05,Baghewala (Rajasthan),UC,"Unsafe condition: Waste bin overflowing at oil collecting station, cleared by housekeeping."
R11-00390,2026-05-25,Jorhat,UA,"Unsafe act observed: Small tool dropped from table at oil collecting station, landed on floor, no one nearby. Reported during morning inspection."
R11-00391,2025-11-03,Jorhat,Incident,"Incident report: Small tool dropped from table at pipeline ROW, landed on floor, no one nearby. Crew of four involved."
R11-00392,2026-03-23,Duliajan,Incident,"Incident report: Waste bin overflowing at pipeline ROW, cleared by housekeeping. Supervisor informed."
R11-00393,2026-03-23,Jorhat,Near Miss,"Near miss: Waste bin overflowing at workshop, cleared by housekeeping. Crew of four involved."
R11-00394,2026-03-09,Jorhat,Near Miss,"Near miss: Minor cut on finger while opening a box at oil collecting station, first aid given. Reported during night shift."
R11-00395,2026-08-06,Duliajan,UA,"Unsafe act observed: High level shutdown interlock bypassed at oil collecting station to keep production running, no MOC and no approval; gas detector inhibited."
R11-00396,2026-02-10,Moran,Incident,"Incident report: Stacked pipes untidy at rig floor store, rearranged. Supervisor informed."
R11-00397,2026-08-04,Duliajan,Near Miss,"Near miss: Lifting sling at pipeline ROW had expired colour code tag, removed from service. Area secured."
R11-00398,2025-12-07,Duliajan,UC,"Unsafe condition: High level shutdown interlock bypassed at compressor house to keep production running, no MOC and no approval; gas detector inhibited. Supervisor informed."
R11-00399,2026-08-29,Tinsukia,Incident,"Incident report: Small tool dropped from table at tank farm, landed on floor, no one nearby. Supervisor informed."
R11-00400,2026-04-30,Tinsukia,Near Miss,"Near miss: Welder at oil collecting station not wearing welding gloves, spoken to and corrected. Reported during night shift."
R11-00401,2026-01-06,Baghewala (Rajasthan),Incident,"Incident report: Water spill on floor near canteen at pipeline ROW, mopped, employee slipped but no injury. Reported during morning inspection."
R11-00402,2025-10-26,Duliajan,UA,"Unsafe act observed: Contractor driver at drill site drove at night without rest, vehicle hit barrier, driver fatigued, mobile phone in use. Reported during night shift."
R11-00403,2025-10-15,Naharkatia,UC,"Unsafe condition: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury. Reported during night shift."
R11-00404,2025-11-22,Jorhat,UC,"Unsafe condition: Worker found standing close to moving forklift at compressor house but at safe distance, coached."
R11-00405,2026-02-03,Naharkatia,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at pipeline ROW, counselled. Reported during morning inspection."
R11-00406,2025-11-04,Jorhat,UA,"Unsafe act observed: Stacked pipes untidy at pipeline ROW store, rearranged. Reported during morning inspection."
R11-00407,2026-05-10,Jorhat,Near Miss,"Near miss: High level shutdown interlock bypassed at wellhead to keep production running, no MOC and no approval; gas detector inhibited. Reported during morning inspection."
R11-00408,2026-05-14,Baghewala (Rajasthan),Incident,"Incident report: Worker not wearing safety glasses while cleaning at rig floor, counselled. Crew of four involved."
R11-00409,2026-05-18,Duliajan,Incident,"Incident report: Waste bin overflowing at compressor house, cleared by housekeeping. Reported during morning inspection."
R11-00410,2026-06-18,Kharsang,Near Miss,"Near miss: Electrician opened MCC panel at CPF for repair, energy not isolated, no tag-out applied, live terminals exposed. Area secured."
R11-00411,2025-12-27,Moran,Incident,Incident report: Valve found unlocked during flange opening at workshop; hydrocarbon released because isolation not verified before breaking containment. Reported during morning inspection.
R11-00412,2026-05-02,Moran,UA,"Unsafe act observed: Stacked pipes untidy at pipeline ROW store, rearranged."
R11-00413,2026-07-27,Jorhat,Near Miss,"Near miss: Cutting torch used on pipeline at oil collecting station while gas test not done, LEL not checked. Reported during night shift."
R11-00414,2026-03-12,Duliajan,UC,"Unsafe condition: Isolation register at drill site missing one signature, corrected, no work had started. Reported during morning inspection."
R11-00415,2026-01-07,Duliajan,Near Miss,"Near miss: Crane operator log book at workshop not signed for one day, corrected. Crew of four involved."
R11-00416,2026-04-06,Tinsukia,UC,"Unsafe condition: Waste bin overflowing at compressor house, cleared by housekeeping. Area secured."
R11-00417,2025-10-29,Duliajan,Incident,"Incident report: Alarm test log at compressor house filled late, corrected."
R11-00418,2026-08-31,Duliajan,UC,"Unsafe condition: Gas detector at rig floor calibration due next week, scheduled. Area secured."
R11-00419,2025-10-12,Duliajan,Near Miss,"Near miss: Permit copy at oil collecting station not displayed at job site, displayed after reminder. Supervisor informed."
R11-00420,2026-07-14,Moran,UC,"Unsafe condition: Reverse horn not working on van at wellhead, fixed the same day. Reported during morning inspection."
R11-00421,2025-12-18,Baghewala (Rajasthan),UA,"Unsafe act observed: Stacked pipes untidy at rig floor store, rearranged."
R11-00422,2026-02-12,Naharkatia,Near Miss,"Near miss: Waste bin overflowing at oil collecting station, cleared by housekeeping. Crew of four involved."
